order_id,customer_id,customer_name,gender,age,city,state,product_id,product_name,category,quantity,unit_price,discount,total_amount,order_status,order_date
98,21,Rahul Saini,Male,30,Sonipat,Haryana,19,Smart Watch,Accessories,4,3999.0,0.0,15996.0,Pending,2025-04-29
2,22,Meera Joshi,Female,32,Indore,Madhya Pradesh,17,Sunscreen,Beauty,3,699.0,15.0,1782.45,Delivered,2025-07-18
63,22,Meera Joshi,Female,32,Indore,Madhya Pradesh,4,Smartphone,Electronics,4,28000.0,5.0,106400.0,Delivered,2025-12-10
100,22,Meera Joshi,Female,32,Indore,Madhya Pradesh,6,Running Shoes,Footwear,1,2999.0,15.0,2549.15,Returned,2025-01-25
24,23,Arjun Bhatia,Male,25,Chennai,Tamil Nadu,9,Cotton T-Shirt,Clothing,1,599.0,10.0,539.1,Pending,2025-05-23
28,23,Arjun Bhatia,Male,25,Chennai,Tamil Nadu,4,Smartphone,Electronics,4,28000.0,20.0,89600.0,Delivered,2025-11-07
66,23,Arjun Bhatia,Male,25,Chennai,Tamil Nadu,1,Wireless Mouse,Electronics,2,899.0,5.0,1708.1,Delivered,2025-06-08
89,23,Arjun Bhatia,Male,25,Chennai,Tamil Nadu,12,Formal Shirt,Clothing,3,999.0,5.0,2847.15,Delivered,2025-05-17
96,23,Arjun Bhatia,Male,25,Chennai,Tamil Nadu,10,Denim Jeans,Clothing,1,1499.0,5.0,1424.05,Delivered,2025-10-06
97,24,Pooja Nair,Female,29,Kochi,Kerala,6,Running Shoes,Footwear,4,2999.0,20.0,9596.8,Cancelled,2025-10-10
50,25,Manish Yadav,Male,36,Lucknow,Uttar Pradesh,19,Smart Watch,Accessories,1,3999.0,15.0,3399.15,Returned,2025-08-31
86,25,Manish Yadav,Male,36,Lucknow,Uttar Pradesh,9,Cotton T-Shirt,Clothing,1,599.0,15.0,509.15,Pending,2025-01-10
99,25,Manish Yadav,Male,36,Lucknow,Uttar Pradesh,7,Casual Sneakers,Footwear,5,2499.0,5.0,11870.25,Pending,2025-10-22
11,26,Simran Kaur,Female,24,Amritsar,Punjab,16,Face Wash,Beauty,4,399.0,10.0,1436.4,Pending,2025-01-16
14,26,Simran Kaur,Female,24,Amritsar,Punjab,19,Smart Watch,Accessories,1,3999.0,10.0,3599.1,Returned,2025-12-09
15,26,Simran Kaur,Female,24,Amritsar,Punjab,14,Electric Kettle,Home & Kitchen,5,1799.0,20.0,7196.0,Pending,2025-02-26
33,26,Simran Kaur,Female,24,Amritsar,Punjab,12,Formal Shirt,Clothing,3,999.0,15.0,2547.45,Delivered,2025-02-10
35,26,Simran Kaur,Female,24,Amritsar,Punjab,3,Laptop,Electronics,3,55000.0,15.0,140250.0,Cancelled,2025-02-08
61,26,Simran Kaur,Female,24,Amritsar,Punjab,15,Non-Stick Cookware Set,Home & Kitchen,5,2999.0,20.0,11996.0,Delivered,2025-03-29
82,26,Simran Kaur,Female,24,Amritsar,Punjab,4,Smartphone,Electronics,5,28000.0,10.0,126000.0,Delivered,2025-03-31
48,27,Nikhil Roy,Male,27,Kolkata,West Bengal,6,Running Shoes,Footwear,3,2999.0,15.0,7647.45,Pending,2025-12-22
72,27,Nikhil Roy,Male,27,Kolkata,West Bengal,19,Smart Watch,Accessories,4,3999.0,0.0,15996.0,Delivered,2025-09-21
90,27,Nikhil Roy,Male,27,Kolkata,West Bengal,11,Hoodie,Clothing,4,1299.0,0.0,5196.0,Delivered,2025-06-14
22,28,Riya Khanna,Female,21,Faridabad,Haryana,3,Laptop,Electronics,5,55000.0,15.0,233750.0,Delivered,2025-09-19
51,28,Riya Khanna,Female,21,Faridabad,Haryana,6,Running Shoes,Footwear,1,2999.0,0.0,2999.0,Returned,2025-02-11
79,28,Riya Khanna,Female,21,Faridabad,Haryana,17,Sunscreen,Beauty,5,699.0,20.0,2796.0,Cancelled,2025-09-22
59,29,Sahil Arora,Male,34,Hyderabad,Telangana,15,Non-Stick Cookware Set,Home & Kitchen,2,2999.0,5.0,5698.1,Delivered,2025-09-08
4,30,Tanya Das,Female,26,Bhubaneswar,Odisha,4,Smartphone,Electronics,2,28000.0,0.0,56000.0,Returned,2025-09-09
19,30,Tanya Das,Female,26,Bhubaneswar,Odisha,9,Cotton T-Shirt,Clothing,5,599.0,5.0,2845.25,Delivered,2025-05-05
47,30,Tanya Das,Female,26,Bhubaneswar,Odisha,6,Running Shoes,Footwear,1,2999.0,15.0,2549.15,Delivered,2025-12-20
58,30,Tanya Das,Female,26,Bhubaneswar,Odisha,1,Wireless Mouse,Electronics,5,899.0,15.0,3820.75,Delivered,2025-07-01
62,30,Tanya Das,Female,26,Bhubaneswar,Odisha,3,Laptop,Electronics,1,55000.0,0.0,55000.0,Delivered,2025-02-02
68,30,Tanya Das,Female,26,Bhubaneswar,Odisha,20,Backpack,Accessories,4,1299.0,0.0,5196.0,Returned,2025-08-20
84,30,Tanya Das,Female,26,Bhubaneswar,Odisha,15,Non-Stick Cookware Set,Home & Kitchen,5,2999.0,5.0,14245.25,Delivered,2025-08-09
95,30,Tanya Das,Female,26,Bhubaneswar,Odisha,8,Formal Shoes,Footwear,4,3499.0,0.0,13996.0,Pending,2025-03-28
